"Type","au_id_k","au_lname_s","au_lname_t","au_fname_s","au_fname_t","phone_s","phone_t","address_s","address_t","city_s","city_t","state_s","state_t","zip_s","zip_t","contract_s","contract_t"
"In1","000-37-5345","Molina","","Ellen","","395-1975058","","85 First Drive","","Louisville","","OK","","73115","","False",""
"In1","000-58-1168","Velazquez","","Ricardo","","544062-1012","","79 Second Way","","Jersey","","IL","","25241","","True",""
"In1","001-80-6776","Guzman","","Jaime","","268914-5910","","32 Rocky Hague Blvd.","","Atlanta","","IL","","28353","","False",""
"In1","002-72-3737","Hardin","","Lonnie","","5017592501","","86 First Way","","Newark","","AR","","16029","","False",""
"In1","002-86-9108","Erickson","","Tameka","","631838-9319","","176 Milton Road","","Las Vegas","","NM","","93880","","True",""
"In1","005-38-7479","Rogers","","Tyler","","255693-0176","","519 Green Oak Avenue","","Akron","","RI","","73188","","True",""
"In1","007-36-1515","Lane","","Wendell","","0771456959","","767 Old Boulevard","","Indianapolis","","HI","","41987","","True",""
"In1","008-11-7690","Finley","","Lynette","","1213354948","","320 White Fabien Blvd.","","Virginia Beach","","RI","","70873","","True",""
"In1","008-63-6447","Williamson","","Jose","","213194-0574","","680 Milton Freeway","","San Diego","","SC","","97379","","False",""
"In1","009-69-8518","Reid","","Billie","","390-783-5265","","70 Second Avenue","","Cleveland","","TN","","60863","","False",""
"In1","010-57-1054","Hawkins","","Walter","","848-611-0979","","94 Old Boulevard","","Philadelphia","","NV","","59150","","False",""
"In1","012-66-6624","Garza","","Sean","","451-498-4113","","25 Rocky Second Street","","Riverside","","IA","","74231","","True",""
"In1","013-21-2231","Shields","","Vanessa","","748-2858628","","668 Rocky Oak St.","","Virginia Beach","","MN","","17671","","True",""
"In1","013-73-7761","Gross","","Shane","","904-1491740","","86 Rocky Second St.","","Memphis","","UT","","79356","","True",""
"In1","013-84-9095","Pugh","","Randal","","795-349-6600","","363 East Green Cowley Blvd.","","Charlotte","","IA","","21513","","False",""
"In1","014-43-4180","Hart","","Darryl","","3185975466","","98 Green Cowley Blvd.","","Arlington","","NM","","07431","","True",""
"In1","014-85-1174","Humphrey","","Dominick","","9554339199","","633 First Street","","Des Moines","","IA","","48242","","True",""
"In1","017-50-7906","Johnston","","Oscar","","626-5425799","","43 Rocky Cowley Freeway","","Cleveland","","KS","","61983","","False",""
"In1","017-56-8782","Andersen","","Lori","","383833-2402","","19 South Cowley St.","","Anchorage","","NC","","63562","","True",""
"In1","018-51-2912","Munoz","","Ernest","","236-377-6028","","67 North Milton Parkway","","Bakersfield","","GA","","58703","","True",""
"In1","018-83-8089","Mc Bride","","Joel","","797088-4666","","906 Hague Street","","Tacoma","","NJ","","97080","","True",""
"In1","018-94-1985","Anderson","","Sara","","317398-3500","","19 Old St.","","Anchorage","","DE","","<NULL>","","True",""
"In1","019-08-5961","Calhoun","","Milton","","909-506-2596","","15 Hague Street","","St. Paul","","WI","","70473","","False",""
"In1","019-90-9401","Collier","","Ronnie","","042-838-1767","","20 South Fabien Freeway","","Kansas","","MN","","40474","","True",""
"In1","020-61-7103","Adkins","","Chandra","","204-4670110","","53 Green Milton Road","","Tucson","","RI","","23972","","False",""
