"Type","emp_id_k","fname_s","fname_t","minit_s","minit_t","lname_s","lname_t","job_id_s","job_id_t","job_lvl_s","job_lvl_t","pub_id_s","pub_id_t","hire_date_s","hire_date_t"
"In1","AAC43295F","Belinda",""," ","","Cameron","","2","","215","","9901","","04/07/2007 00:46:02",""
"In1","AAD70656F","Rachael",""," ","","Scott","","5","","198","","1756","","13/02/2010 10:03:03",""
"In1","AAG68427M","Mario","","N","","Vaughn","","9","","170","","1756","","22/09/2006 00:40:27",""
"In1","AAH12369F","Bradford",""," ","","Wong","","10","","80","","1622","","17/10/2000 18:04:26",""
"In1","AAI19674F","Janelle",""," ","","Pratt","","10","","80","","9901","","24/01/2013 19:49:39",""
"In1","AAI34260F","Lynn",""," ","","Ramirez","","5","","172","","0736","","10/03/2014 05:01:20",""
"In1","AAP53915F","Brandy","","B","","Odom","","10","","165","","0736","","15/11/2003 12:12:14",""
"In1","ABF92723M","Misty","","H","","Leonard","","3","","200","","9901","","30/08/2014 06:09:46",""
"In1","ABL43642M","Heidi",""," ","","English","","9","","170","","9901","","19/01/2007 02:28:05",""
"In1","ABQ74437F","Kyle","","S","","Dodson","","10","","80","","9999","","08/02/2014 12:16:53",""
"In1","ABY82059F","Kelli","","M","","Jensen","","9","","170","","9999","","20/05/2007 09:24:22",""
"In1","A-C27899F","Lloyd",""," ","","Ballard","","12","","100","","9901","","07/09/2004 01:02:42",""
"In1","ACA56898M","Jamal","","P","","Wiley","","5","","172","","1389","","20/01/2002 03:35:33",""
"In1","ACC62588M","Heather","","V","","Stone","","8","","101","","9901","","26/10/2010 07:02:13",""
"In1","ACI24530M","Gabriela",""," ","","Brandt","","5","","211","","0736","","23/03/2010 03:53:14",""
"In1","ACI32176M","Ricky",""," ","","Chang","","13","","64","","9952","","26/11/2007 14:36:31",""
"In1","ACJ16787M","Emily",""," ","","Fischer","","7","","195","","9999","","24/11/2009 08:39:00",""
"In1","ACP52413F","Kirsten",""," ","","Underwood","","12","","32","","9999","","26/01/2011 02:38:33",""
"In1","ACQ41368M","Lea","","Q","","Newton","","5","","172","","9952","","10/10/2013 08:39:00",""
"In1","ACT78192M","Jamey",""," ","","Mc Gee","","14","","100","","0736","","09/06/2017 15:13:47",""
"In1","ADE44581F","Eric",""," ","","Todd","","8","","101","","9952","","01/01/2018 23:51:14",""
"In1","ADH27216M","Sonny","","C","","Kelly","","8","","100","","0877","","25/09/2010 05:06:45",""
"In1","ADI76562M","Kurt",""," ","","Mack","","14","","89","","0877","","27/07/2014 00:31:47",""
"In1","ADN85439M","Edgar",""," ","","Moran","","5","","172","","1389","","27/05/2017 12:51:25",""
"In1","ADO30546M","Gordon","","J","","Hodges","","5","","246","","9901","","27/05/2014 10:03:11",""
"In1","ADS71967M","Alvin","","S","","Carlson","","8","","125","","9901","","29/11/2019 07:48:13",""
"In1","AES17006F","Teddy",""," ","","Baxter","","7","","120","","9952","","31/01/2001 09:54:41",""
"In1","AEV89398M","Jeannie","","Q","","Gibson","","13","","100","","9952","","29/11/2019 18:25:04",""
"In1","AFD61713M","Felicia","","A","","Mckinney","","5","","211","","0736","","01/04/2013 10:29:55",""
"In1","AFD65275F","Elisa",""," ","","Lambert","","8","","101","","0736","","03/10/2007 22:11:51",""
"In1","AFO22812M","Leon","","O","","Herrera","","5","","246","","1756","","04/10/2004 23:06:42",""
"In1","AFP52252F","Meghan","","L","","Gutierrez","","11","","150","","9952","","21/06/2011 18:24:46",""
"In1","AFR14358F","Jake","","G","","Dickerson","","13","","35","","0877","","03/02/2008 08:56:58",""
"In1","AFS80207F","Jeffrey","","T","","Chen","","8","","100","","9952","","21/07/2019 02:03:59",""
"In1","AFU67990F","Joni",""," ","","Raymond","","10","","165","","0736","","28/01/2018 08:56:42",""
"In1","AGC65179F","Angelia",""," ","","Clarke","","11","","150","","1756","","07/11/2015 08:27:44",""
"In1","AGR90953M","Trina","","F","","Williamson","","10","","87","","1622","","20/11/2014 14:16:43",""
"In1","AGU77286F","Alissa","","R","","Ewing","","7","","120","","0736","","16/12/2017 10:44:23",""
"In1","AHA50397F","Marc","","T","","Richmond","","5","","175","","0736","","20/05/2006 17:00:23",""
"In1","AHG42647F","Alfredo",""," ","","Mullins","","5","","175","","9999","","09/07/2002 13:44:31",""
"In1","AHJ54950F","Robbie",""," ","","Lam","","13","","64","","9952","","17/11/2008 17:55:20",""
"In1","AHN59008F","Xavier",""," ","","Glover","","5","","150","","9952","","24/07/2009 16:46:15",""
"In1","AIF36697F","Tammi","","C","","Kaiser","","6","","140","","1622","","05/12/2006 02:34:27",""
"In1","AIM42351F","Dawn",""," ","","Bennett","","10","","165","","1622","","19/04/2009 13:23:00",""
"In1","AIM47403M","Kari","","B","","Yoder","","5","","198","","9999","","07/05/2004 04:46:13",""
"In1","AIP90949F","Misti",""," ","","Phillips","","5","","150","","9952","","11/11/2008 13:08:39",""
"In1","AIR72796F","Jimmy","","N","","Baird","","12","","32","","9901","","11/04/2009 17:43:14",""
"In1","AIT20785F","Guadalupe","","P","","Weeks","","5","","246","","1756","","22/11/2010 10:38:40",""
"In1","AIT93704F","Alissa","","P","","Zuniga","","7","","120","","9999","","03/01/2008 12:56:33",""
"In1","AIV79016F","Serena",""," ","","Clements","","7","","135","","0736","","01/03/2016 03:52:44",""
"In1","AIX19901F","Ramiro",""," ","","Perez","","6","","192","","9901","","07/02/2008 19:53:32",""
"In1","AIY99201F","Marcie",""," ","","Soto","","7","","195","","9999","","16/12/2005 07:34:52",""
"In1","A-J41100M","Jolene","","D","","Hutchinson","","5","","172","","1389","","14/08/2014 07:57:43",""
"In1","AJE16257F","Marie","","S","","Dudley","","10","","75","","9999","","27/10/2000 20:02:20",""
"In1","AJR42168F","Alvin",""," ","","Moses","","13","","35","","9999","","08/10/2017 19:22:56",""
"In1","AJT56864M","Tommy",""," ","","Pineda","","9","","170","","1389","","16/06/2002 11:42:35",""
"In1","AJW76564F","Joel",""," ","","Ho","","9","","78","","0877","","19/01/2006 22:53:44",""
"In1","AKD86877F","Deana",""," ","","Pollard","","8","","101","","9952","","01/02/2001 09:47:07",""
"In1","AKG48443M","Clifford",""," ","","Chavez","","5","","211","","9952","","05/08/2000 23:30:08",""
"In1","AKM69585F","Anne","","S","","Rangel","","5","","198","","0736","","21/06/2000 19:36:18",""
"In1","AKO52272M","Donna","","P","","Fletcher","","5","","172","","0736","","04/11/2019 08:22:10",""
"In1","AKW26775M","Sonja","","O","","Bonilla","","12","","35","","1756","","22/10/2013 16:58:56",""
"In1","AKX33692F","Walter","","I","","Chase","","14","","89","","1389","","03/05/2016 17:33:56",""
"In1","AKZ91095M","Kathleen","","B","","Berry","","3","","200","","9952","","11/06/2001 17:21:00",""
"In1","ALA41198M","Vanessa","","Q","","Mata","","9","","170","","9901","","05/07/2014 16:14:45",""
"In1","ALO70428F","Marisol","","C","","Mc Mahon","","14","","89","","9952","","19/01/2009 07:38:41",""
"In1","ALP33252F","Theodore","","P","","Sosa","","10","","165","","1622","","23/11/2005 22:56:14",""
"In1","ALQ43999F","Leslie",""," ","","Howell","","4","","227","","1389","","05/09/2001 11:20:37",""
"In1","ALR61007F","Candy","","B","","Avery","","5","","198","","0736","","15/10/2011 12:08:14",""
"In1","ALT10065F","Wendi","","B","","Walls","","10","","87","","9901","","19/09/2018 17:38:58",""
"In1","AMC20448M","Lakisha","","<NULL>","","Bradshaw","","10","","80","","9952","","16/07/2008 21:09:48",""
"In1","AMC39991F","Jordan","","T","","Buckley","","9","","78","","9952","","29/04/2012 13:52:09",""
"In1","AMO49311M","Rhonda","","N","","Castro","","13","","100","","1622","","23/08/2014 05:28:15",""
"In1","AMP71745F","Troy",""," ","","Chambers","","11","","150","","1756","","24/03/2002 01:04:30",""
"In1","AMP75299M","Patrice",""," ","","Russo","","7","","135","","1389","","12/07/2019 11:07:57",""
"In1","AMR28779F","Elaine",""," ","","Richmond","","6","","220","","9901","","30/07/2010 21:12:55",""
"In1","AMS34074M","Monte","","H","","Henson","","7","","135","","1622","","20/03/2010 19:50:05",""
"In1","ANA25279F","Nathaniel",""," ","","Guerra","","5","","159","","1622","","04/11/2017 01:41:52",""
"In1","AND42964F","Corey","","T","","Robinson","","6","","220","","9952","","17/10/2006 14:19:25",""
"In1","ANT34480M","Charlene","","C","","Johnston","","7","","120","","0877","","09/12/2009 10:23:55",""
"In1","A-O24745M","Glen",""," ","","Brady","","9","","75","","1756","","09/05/2009 09:44:50",""
"In1","AOG75704F","Gretchen",""," ","","Barrett","","11","","75","","9999","","04/10/2011 05:18:12",""
"In1","AOI57438F","Terrell",""," ","","Roman","","12","","100","","9901","","22/10/2007 00:19:32",""
