"Type","au_id_k","title_id_k","au_ord_s","au_ord_t","royaltyper_s","royaltyper_t"
"In1","000-37-5345","QS0H5Z","2","","48",""
"In1","000-37-5345","SYPC1Z","2","","53",""
"In1","000-58-1168","5OI9C1","1","","98",""
"In1","001-80-6776","R1TKDC","2","","<NULL>",""
"In1","002-72-3737","VO09PO","1","","81",""
"In1","002-72-3737","WT2HPO","2","","48",""
"In1","002-86-9108","A5RG6L","1","","83",""
"In1","002-86-9108","ONP7Q0","3","","92",""
"In1","005-38-7479","DNAS6K","1","","41",""
"In1","005-38-7479","O2RXYU","1","","66",""
"In1","007-36-1515","L3EM6J","1","","98",""
"In1","007-36-1515","SILX9L","2","","44",""
"In1","008-11-7690","705QKW","1","","67",""
"In1","008-11-7690","VXW8Z3","3","","87",""
"In1","008-63-6447","SO801I","2","","93",""
"In1","009-69-8518","YD3B83","1","","62",""
"In1","009-69-8518","ZC18MR","1","","57",""
"In1","010-57-1054","OVIPSN","2","","63",""
"In1","012-66-6624","92BIBA","2","","77",""
"In1","013-21-2231","IHJVCR","1","","77",""
"In1","013-21-2231","NXK5BY","1","","93",""
"In1","013-73-7761","XC7MJX","1","","84",""
"In1","013-73-7761","ZLVD6T","1","","97",""
"In1","013-84-9095","Q0CNJ1","1","","53",""
"In1","014-43-4180","Y8T57D","1","","49",""
"In1","014-85-1174","0UGYM6","2","","89",""
"In1","017-50-7906","074QW3","2","","93",""
"In1","017-50-7906","EDWL1J","2","","84",""
"In1","017-56-8782","YDLFLC","3","","92",""
"In1","018-51-2912","VWWM0O","2","","91",""
"In1","018-83-8089","53LM2V","2","","41",""
"In1","018-83-8089","SBSLC4","2","","46",""
"In1","018-94-1985","3L07YK","2","","51",""
"In1","018-94-1985","PRWU2U","2","","55",""
"In1","019-08-5961","FXBJS9","2","","83",""
"In1","019-08-5961","QJUXR1","1","","66",""
"In1","019-90-9401","QUMFE4","1","","77",""
"In1","020-61-7103","SQZN96","1","","92",""
"In1","020-83-4369","YDMFAM","1","","70",""
"In1","020-96-1904","KDV30G","1","","66",""
"In1","021-76-9037","2A1G9C","1","","61",""
"In1","022-01-3621","AXJQC6","1","","50",""
"In1","022-01-3621","XRYKH7","2","","73",""
"In1","022-25-8469","MUF10Y","2","","81",""
"In1","023-09-7693","RXPHZP","1","","44",""
"In1","023-09-7693","Y1RQV4","1","","64",""
"In1","023-10-3472","K07RKL","1","","46",""
"In1","026-52-7231","T51RDP","2","","64",""
"In1","027-48-0104","705QKW","1","","44",""
"In1","027-48-0104","EDLE8A","1","","57",""
"In1","028-74-6874","2IPPBK","1","","66",""
"In1","028-74-6874","JPSMOU","2","","42",""
"In1","029-45-9479","ANW0XT","1","","91",""
"In1","029-81-7687","ZKO9RI","2","","93",""
"In1","029-87-5316","8EO5BP","3","","77",""
"In1","030-41-4203","K3PFUY","2","","85",""
"In1","030-41-4203","SOBCAY","2","","88",""
"In1","031-34-7655","59BGLD","1","","66",""
"In1","031-34-7655","Y7FB46","3","","58",""
"In1","033-56-3107","AY0BS6","1","","84",""
"In1","033-56-3107","WSBTPO","1","","98",""
"In1","033-96-2990","UN8PAQ","1","","47",""
"In1","033-96-2990","US7LV7","1","","42",""
"In1","034-36-0342","LMNJAK","2","","40",""
"In1","035-23-3645","3HKS5H","1","","89",""
"In1","035-23-3645","OS50TC","1","","76",""
"In1","036-26-0337","B1QPO","1","","58",""
"In1","036-26-0337","WDBJ3O","1","","84",""
"In1","036-28-0629","GQH8WG","1","","58",""
"In1","036-28-0629","MCWORS","1","","77",""
"In1","037-09-5187","GBYN79","1","","70",""
"In1","037-09-5187","TX36TB","2","","56",""
"In1","037-24-1427","30M02Q","1","","47",""
"In1","037-88-2320","5BT1GB","2","","46",""
"In1","037-97-4014","M5CZK0","1","","56",""
"In1","039-06-7617","BWW172","2","","75",""
"In1","039-06-7617","G0J551","1","","72",""
"In1","039-87-6621","TPRN2B","1","","67",""
"In1","040-68-4281","27L7CW","1","","85",""
"In1","040-68-4281","ITXC28","1","","46",""
"In1","040-86-2217","FGSCWQ","1","","61",""
"In1","040-86-2217","WJ1384","1","","49",""
"In1","040-95-9930","DB9I6H","2","","94",""
"In1","040-95-9930","Z02Q7S","1","","66",""
"In1","041-76-1076","C522ZQ","1","","88",""
"In1","041-76-1076","YMPC6R","1","","65",""
"In1","041-91-5307","LEY8F7","1","","93",""
"In1","041-91-5307","NIO1EM","1","","<NULL>",""
